Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
dialog_drone_command_follow,npc,Dialog,,,Follow,,Folge mir,Seguir,Suivre,Seguimi,ついて来い,따라와,Podążaj,Seguir,Следуй за мной,Takip Et,跟随,跟隨,Seguir
dialog_drone_command_heal,npc,Dialog,,,Can you heal me?,,Kannst du mich heilen?,¿Puedes curarme?,Peux-tu me soigner ?,Puoi guarirmi?,治療してくれますか？,나 좀 치료해줄래?,Czy możesz mnie wyleczyć?,Pode me curar?,Вылечишь меня?,Beni iyileştirebilir misin?,可以治疗我吗？,可以治療我嗎？,¿Puedes curarme?
dialog_drone_command_stay,npc,Dialog,,,Stay Here.,,Hier bleiben.,Quédate aquí.,Reste ici.,Resta qui.,ここに留まれ,여기 있어.,Zostań tutaj.,Fique aqui.,Стой здесь.,Burada kal.,待在这里。,待在這裡。,Quédate aquí.
dialog_trader_response_admin,Quest,Dialogs,,,Admin Options,,Administrator-Optionen,Opciones de administración,Options admin.,Opzioni amministratore,管理オプション,관리 옵션,Opcje administratora,Opções de administrador,Настройки администратора,Yönetici Seçenekleri,管理选项,管理員選項,Opciones de administración
dialog_trader_response_background,Quest,Dialogs,,,Can you give me some information?,,Kannst du mir ein paar Informationen geben?,¿Puedes darme alguna información?,Pourriez-vous me donner plus d'informations ?,Puoi darmi qualche informazione?,情報を提供してください。,제게 정보를 주실 수 있을까요?,Potrzebuję szczegółowych informacji na ten temat.,Poderia me passar uma informação?,Можете предоставить мне некоторую информацию?,Bana biraz bilgi verebilir misin?,能给我一些信息吗？,你能給我提供一些資訊嗎？,¿Puedes darme alguna información?
dialog_trader_response_cassadores,Quest,Dialogs,,,The Cassadores?,,Die Cassadores?,¿Los Cassadores?,Les Cassadores ?,I Cassadore?,カサドーレス？,카사도르?,Cassadore?,Os Cassadores?,Кассадоры?,Cassadore ailesi mi?,卡萨朵？,卡薩多爾精銳輕步兵？,¿Los Cassadores?
dialog_trader_response_jobshave,Quest,Dialogs,,,Do you have any jobs?,,Hast du irgendwelche Aufgaben?,¿Tienes algún trabajo?,Vous avez du travail à me proposer ?,Hai qualche lavoro?,何か仕事はあるか？,일거리가 있나요?,Masz jakąś robotę?,Tem algum trabalho aí?,Есть какая-нибудь работа?,Hiç iş var mı?,你有工作吗？,你有工作嗎？,¿Tienes algún trabajo?
dialog_trader_response_jobsnone,Quest,Dialogs,,,Do you have any jobs?,,Hast du irgendwelche Aufgaben?,¿Tienes algún trabajo?,Vous avez du travail à me proposer ?,Hai qualche lavoro?,何か仕事はあるか？,일거리가 있나요?,Masz jakąś robotę?,Tem algum trabalho aí?,Есть какая-нибудь работа?,Hiç iş var mı?,你有工作吗？,你有工作嗎？,¿Tienes algún trabajo?
dialog_trader_response_navezgane,Quest,Dialogs,,,Navezgane?,,Navezgane?,¿Navezgane?,Navezgane ?,Navezgane?,ネーブズジェーン？,나베즈게인?,Navezgane?,Navezgane?,Невезган?,Navezgane mi?,纳维戈恩？,暗黑伊甸園？,¿Navezgane?
dialog_trader_response_nevermind,Quest,Dialogs,,,Nevermind.,,Vergiss es.,No importa.,Oubliez ça.,Lascia stare.,何でもない。,신경쓰지 마세요.,Nieważne,Deixa pra lá.,Неважно.,Boş ver.,没什么事。,別介意。,No importa.
